iter	Logloss
0	0.692772565
1	0.6922367836
2	0.691840248
3	0.6913357349
4	0.6909200787
5	0.690447444
6	0.6899374044
7	0.6894532517
8	0.6889681192
9	0.6885540322
10	0.6881502106
11	0.6877435812
12	0.6874348454
13	0.6870020225
14	0.6866365612
15	0.6862590475
16	0.6858400455
17	0.6854362222
18	0.685090812
19	0.6847250028
20	0.6844106584
21	0.6841199669
22	0.6837526114
23	0.6834403895
24	0.6830796541
25	0.6827333662
26	0.6823732288
27	0.6820223352
28	0.6817695099
29	0.6814411896
30	0.6811401985
31	0.6808358373
32	0.6805063078
33	0.6802221686
34	0.679906972
35	0.6797035979
36	0.6794356039
37	0.6791512761
38	0.6789493699
39	0.6786825417
40	0.678427744
41	0.6781991972
42	0.6779413596
43	0.677714256
44	0.6774500084
45	0.6772135111
46	0.6769709342
47	0.6767613401
48	0.6765433814
49	0.6763134467
50	0.6761036713
51	0.6758954294
52	0.6756618412
53	0.6754297341
54	0.6752338171
55	0.6750559425
56	0.674857927
57	0.6746639271
58	0.6745166226
59	0.6743386692
60	0.6741917436
61	0.6739848833
62	0.6737776433
63	0.6735971177
64	0.673432906
65	0.6732575479
66	0.6730921714
67	0.6729163939
68	0.6727911794
69	0.6726237973
70	0.6724695984
71	0.6723241885
72	0.672204107
73	0.6720814819
74	0.6719239701
75	0.6717773798
76	0.6716188928
77	0.6714679282
78	0.6713697243
79	0.6712256931
80	0.6710952108
81	0.6710007408
82	0.6709206711
83	0.6708331853
84	0.6706998698
85	0.6705905704
86	0.6704545431
87	0.6703582316
88	0.6702286152
89	0.6701359228
90	0.670008766
91	0.66988822
92	0.6697628176
93	0.6696630274
94	0.6695405393
95	0.6694342253
96	0.6693146971
97	0.6692144389
98	0.6691178954
99	0.6690058484
100	0.6689295177
101	0.6688551261
102	0.6687639994
103	0.6686789161
104	0.6686161263
105	0.6685295743
106	0.6684186286
107	0.6683322182
108	0.6682440794
109	0.6681568157
110	0.6680860611
111	0.6680073631
112	0.6679157297
113	0.6678289325
114	0.6677427994
115	0.6676416348
116	0.6675616629
117	0.66748708
118	0.6674066977
119	0.6673435039
120	0.6672664265
121	0.6671940317
122	0.6671210103
123	0.6670473998
124	0.6669798968
125	0.6669067767
126	0.6668420096
127	0.6667949524
128	0.6667432881
129	0.6666683988
130	0.6666115121
131	0.6665637485
132	0.666506559
133	0.6664303589
134	0.6663770922
135	0.6663258389
136	0.6662506978
137	0.6662071165
138	0.6661526974
139	0.6661024768
140	0.6660387806
141	0.6659812253
142	0.6659393296
143	0.6658924054
144	0.6658484699
145	0.6658060462
146	0.6657743102
147	0.6657206708
148	0.6656769331
149	0.6656285763
150	0.6655928579
151	0.6655497728
152	0.6655076565
153	0.6654618707
154	0.6654092121
155	0.6653750589
156	0.6653296247
157	0.6652962346
158	0.6652521083
159	0.6652099784
160	0.6651754641
161	0.6651373336
162	0.6650820111
163	0.6650536767
164	0.6650169605
165	0.6649798568
166	0.6649391636
167	0.6648948421
168	0.6648549542
169	0.6648104381
170	0.6647652918
171	0.6647246825
172	0.6646949029
173	0.6646557825
174	0.6646176071
175	0.6645776384
176	0.6645319432
177	0.6644955722
178	0.6644526763
179	0.6644186476
180	0.6643775359
181	0.6643548679
182	0.6643258059
183	0.6642936383
184	0.6642602447
185	0.6642208525
186	0.6641986733
187	0.6641771299
188	0.6641385486
189	0.6641079986
190	0.6640741152
191	0.6640363715
192	0.6640033744
193	0.6639830518
194	0.6639556375
195	0.6639293654
196	0.6639013212
197	0.6638746026
198	0.6638497142
199	0.6638241995
