iter	Passed	Remaining
0	1	258
1	2	199
2	2	175
3	3	161
4	3	154
5	4	152
6	5	149
7	6	149
8	7	150
9	7	150
10	8	148
11	9	147
12	10	148
13	11	146
14	11	145
15	12	146
16	13	144
17	14	144
18	14	142
19	15	140
20	16	139
21	17	137
22	17	136
23	18	134
24	18	132
25	19	130
26	20	129
27	20	128
28	21	127
29	22	125
30	22	124
31	23	123
32	24	122
33	24	121
34	25	120
35	26	119
36	27	119
37	27	118
38	28	117
39	29	116
40	30	116
41	30	116
42	31	116
43	32	115
44	33	114
45	33	113
46	34	112
47	35	111
48	35	110
49	36	109
50	37	108
51	37	107
52	38	107
53	39	106
54	39	105
55	40	104
56	41	103
57	42	102
58	42	101
59	43	101
60	44	100
61	44	99
62	45	98
63	46	97
64	46	96
65	47	96
66	47	95
67	48	94
68	49	93
69	49	92
70	51	93
71	52	92
72	52	91
73	53	91
74	54	90
75	54	89
76	55	88
77	56	87
78	56	86
79	57	86
80	58	85
81	58	84
82	59	83
83	60	83
84	60	82
85	61	81
86	62	80
87	62	79
88	63	79
89	64	78
90	64	77
91	65	77
92	66	76
93	67	75
94	67	74
95	68	74
96	69	73
97	70	73
98	70	72
99	71	71
100	72	71
101	73	70
102	74	69
103	74	69
104	75	68
105	76	67
106	76	66
107	77	66
108	78	65
109	78	64
110	79	63
111	80	63
112	80	62
113	81	61
114	82	60
115	82	60
116	83	59
117	84	58
118	84	57
119	85	57
120	86	56
121	87	55
122	87	55
123	88	54
124	89	53
125	90	52
126	90	52
127	91	51
128	92	50
129	92	50
130	93	49
131	94	48
132	95	47
133	95	47
134	96	46
135	97	45
136	97	44
137	98	44
138	99	43
139	99	42
140	100	42
141	101	41
142	102	40
143	103	40
144	103	39
145	104	38
146	105	37
147	105	37
148	106	36
149	107	35
150	108	35
151	108	34
152	109	33
153	110	32
154	110	32
155	111	31
156	112	30
157	112	29
158	113	29
159	114	28
160	114	27
161	115	27
162	116	26
163	116	25
164	117	24
165	118	24
166	118	23
167	119	22
168	120	22
169	121	21
170	122	20
171	122	19
172	123	19
173	124	18
174	124	17
175	125	17
176	126	16
177	126	15
178	127	14
179	128	14
180	129	13
181	130	12
182	130	12
183	132	11
184	132	10
185	133	10
186	134	9
187	135	8
188	135	7
189	136	7
190	137	6
191	137	5
192	138	5
193	139	4
194	140	3
195	140	2
196	141	2
197	142	1
198	142	0
199	143	0
