time,high,low,open,close,volumeto
1720914540,59239.92,59184.96,59194.61,59227.14,1550048.46
1720914600,59229.46,59154.63,59227.14,59165.77,2714874.2
1720914660,59173.91,59148.64,59165.77,59156.45,2656273.33
1720914720,59159.12,59139.69,59156.45,59143.88,1785272.99
1720914780,59206.9,59140.37,59143.88,59179.72,2210723.21
1720914840,59180.21,59151.24,59179.72,59156.17,1207497.38
1720914900,59213.88,59153.85,59156.17,59212.85,1249410.97
1720914960,59213.56,59178.44,59212.85,59178.44,1687171.54
1720915020,59259.71,59174.79,59178.44,59229.19,2021596.9
1720915080,59229.19,59195.84,59229.19,59211.1,1735685.96
1720915140,59211.84,59186.63,59211.1,59200.75,1481791.8
1720915200,59237.4,59194.42,59200.75,59222.88,1162113.45
1720915260,59257.4,59212.22,59222.88,59257.07,1817536.19
1720915320,59282.61,59257.07,59257.07,59282.61,1717401.5
1720915380,59312.49,59281.77,59282.61,59311.61,2191960.64
1720915440,59320.41,59296.47,59311.61,59320.41,3062250.1
1720915500,59328.55,59284.68,59320.41,59304.57,2295343.29
1720915560,59326.61,59302,59304.57,59316.3,1379008.64
1720915620,59334.15,59316.29,59316.3,59329.81,1131022.55
1720915680,59394.81,59327.36,59329.81,59391.07,2871638.24
1720915740,59395.48,59352.48,59391.07,59363.74,4034628.07
1720915800,59368.33,59333.37,59363.74,59365.32,3423482.56
1720915860,59374.43,59346.91,59365.32,59371.38,1978475.95
1720915920,59405.59,59371.38,59371.38,59405.59,1450498.67
1720915980,59465.69,59405.59,59405.59,59442.89,2617192.57
1720916040,59446.21,59427.65,59442.89,59431.39,2142414.04
1720916100,59491.6,59431.21,59431.39,59473.57,2418936.74
1720916160,59551.16,59473.57,59473.57,59540.71,7265513.08
1720916220,59628.58,59540.11,59540.71,59601.51,4786225.77
1720916280,59610.87,59482.19,59601.51,59514.68,9043780.73
1720916340,59515.61,59441.63,59514.68,59441.71,2164457.77
1720916400,59447.31,59394.49,59441.71,59431.75,3007229.62
1720916460,59527,59411.37,59431.75,59521.27,5860654.14
1720916520,59557.37,59473.01,59521.27,59499.28,3330751.4
1720916580,59520.68,59488.92,59499.28,59515.71,3604219.88
1720916640,59516.64,59480.34,59515.71,59492.35,3010060.46
1720916700,59504.91,59476.44,59492.35,59500.87,2839760.28
1720916760,59544.97,59469.91,59500.87,59542.97,4168014.36
1720916820,59549.49,59487.5,59542.97,59498.1,2763987.55
1720916880,59508.2,59432.74,59498.1,59443.03,3474956.44
1720916940,59462.09,59389.67,59443.03,59402.61,3138285.26
1720917000,59408.08,59333.16,59402.61,59370.36,4488957.82
1720917060,59387.38,59309.36,59370.36,59309.36,3951066.5
1720917120,59353.68,59293.74,59309.36,59343.83,5365722.1
1720917180,59448.71,59342.8,59343.83,59410.06,4233423.04
1720917240,59427.19,59402.06,59410.06,59405.74,2121497.82
1720917300,59441.31,59395.7,59405.74,59430.4,2038849.49
1720917360,59481.35,59426.96,59430.4,59469.36,2587647.91
1720917420,59486.48,59426.61,59469.36,59431.58,3510753.13
1720917480,59453.85,59428.6,59431.58,59434.53,2023606.78
1720917540,59479.61,59434.07,59434.53,59473.06,2044389.9
1720917600,59490.03,59468.41,59473.06,59489.33,1524310.28
1720917660,59534.45,59489.32,59489.33,59515.73,3461213.68
1720917720,59516.22,59478.12,59515.73,59478.12,2076005.93
1720917780,59478.13,59439.05,59478.12,59439.93,1463436.66
1720917840,59499.63,59439.93,59439.93,59492.44,1886526.83
1720917900,59500.51,59453.38,59492.44,59473.79,5411040.27
1720917960,59547.17,59473.53,59473.79,59547.17,1992520.12
1720918020,59548.06,59520.24,59547.17,59539.41,1491795.36
1720918080,59593.57,59535.73,59539.41,59593.57,2554497.59
1720918140,59647.19,59576.56,59593.57,59645.01,4855872.73
1720918200,59654.73,59612.06,59645.01,59640.42,2594818.73
1720918260,59640.42,59601.63,59640.42,59607.47,2445382.29
1720918320,59608.03,59562.98,59607.47,59563.69,1588354.82
1720918380,59599.45,59543.55,59563.69,59589.96,1413336.48
1720918440,59650.68,59589.96,59589.96,59647.58,4182025.68
1720918500,59693.82,59639.39,59647.58,59693.8,5453630.1
1720918560,59726.84,59678.92,59693.8,59709.23,5227396.05
1720918620,59723.8,59702.76,59709.23,59723.39,3322603.57
1720918680,59770.92,59714.02,59723.39,59769.86,4464396.09
1720918740,59774.94,59737.7,59769.86,59743.74,2599413.71
1720918800,59768.14,59722.49,59743.74,59735.44,2436166.98
1720918860,59783.29,59729.55,59735.44,59760.98,5420336.26
1720918920,59819.73,59759.75,59760.98,59810.49,5074094.77
1720918980,59829.13,59774.32,59810.49,59794.79,2122036.65
1720919040,59827.98,59794.79,59794.79,59818.8,2987321.36
1720919100,59827.75,59731.04,59818.8,59731.04,3918355.71
1720919160,59732.45,59693.76,59731.04,59698.21,3106545.17
1720919220,59716.25,59684.33,59698.21,59706.27,2663922.53
1720919280,59822.62,59706.27,59706.27,59813.38,3312994.41
1720919340,59815.51,59714.43,59813.38,59714.43,3487911.33
1720919400,59714.43,59618.05,59714.43,59627.77,3850164.06
1720919460,59662.01,59600.25,59627.77,59653.06,3609470.18
1720919520,59654.55,59613.16,59653.06,59651.03,2581881.76
1720919580,59660.83,59604.98,59651.03,59611.11,2145755.81
1720919640,59638.68,59601.54,59611.11,59619.27,3470056.26
1720919700,59648.18,59614.19,59619.27,59617.98,2077138.55
1720919760,59620.71,59540.88,59617.98,59542.33,3468813.5
1720919820,59600.27,59527.84,59542.33,59548.98,6298694.32
1720919880,59550.69,59475.72,59548.98,59475.72,6779122.37
1720919940,59534.49,59460.13,59475.72,59463.01,6838287.84
1720920000,59479.51,59449.9,59463.01,59478.5,2208074.54
1720920060,59526.83,59475.86,59478.5,59476.57,2599652.82
1720920120,59536.57,59468.38,59476.57,59534.85,3020276.68
1720920180,59551.56,59494.96,59534.85,59518.22,3439670.81
1720920240,59531.12,59486.38,59518.22,59493.83,3811735.74
1720920300,59524.13,59493.82,59493.83,59518.57,1395314.44
1720920360,59543.5,59514.31,59518.57,59538.51,1286413.12
1720920420,59591.92,59532.17,59538.51,59585.47,2479407.36
1720920480,59614.12,59581.89,59585.47,59581.89,2516432.26
1720920540,59616.58,59561.87,59581.89,59562.32,2852700.54
1720920600,59593.48,59543.64,59562.32,59579.5,2179559.43
1720920660,59601.87,59563.25,59579.5,59563.65,1722696.62
1720920720,59622.13,59563.65,59563.65,59621.19,2334415.73
1720920780,59636.48,59563.13,59621.19,59563.13,2575560.4
1720920840,59628.06,59543.97,59563.13,59612.87,2572750.07
1720920900,59636.75,59601.05,59612.87,59630.45,2052575.03
1720920960,59630.46,59612.85,59630.45,59622.62,2292261.43
1720921020,59630.24,59617.27,59622.62,59628.64,1363115.98
