start_time,end_time,target_price,settled_as
2024-07-23T01:35:00+0530,2024-07-23T01:45:00+0530,68102.0,Yes
2024-07-23T10:55:00+0530,2024-07-23T11:05:00+0530,66449.99,No
2024-07-23T17:00:00+0530,2024-07-23T17:10:00+0530,66574.01,Yes
2024-07-25T01:55:00+0530,2024-07-25T02:05:00+0530,65922.0,No
2024-07-25T02:00:00+0530,2024-07-25T02:10:00+0530,65838.0,Yes
2024-07-25T02:10:00+0530,2024-07-25T02:20:00+0530,65937.99,Yes
2024-08-01T22:25:00+0530,2024-08-01T22:35:00+0530,62890.01,No
2024-08-01T22:30:00+0530,2024-08-01T22:40:00+0530,62908.01,No
2024-08-02T19:45:00+0530,2024-08-02T19:55:00+0530,64638.01,Yes
2024-08-02T19:55:00+0530,2024-08-02T20:05:00+0530,64650.01,Yes
2024-08-02T20:10:00+0530,2024-08-02T20:20:00+0530,64280.67,No
2024-08-02T20:15:00+0530,2024-08-02T20:25:00+0530,63883.3,No
2024-08-02T20:20:00+0530,2024-08-02T20:30:00+0530,63832.01,No
2024-08-02T20:25:00+0530,2024-08-02T20:35:00+0530,63480.0,No
2024-08-02T20:30:00+0530,2024-08-02T20:40:00+0530,63157.95,No
2024-08-02T20:35:00+0530,2024-08-02T20:45:00+0530,63059.95,No
2024-08-02T20:40:00+0530,2024-08-02T20:50:00+0530,62688.0,Yes
2024-08-02T20:45:00+0530,2024-08-02T20:55:00+0530,62608.68,Yes
2024-08-02T20:50:00+0530,2024-08-02T21:00:00+0530,62848.02,Yes
2024-08-02T20:55:00+0530,2024-08-02T21:05:00+0530,62874.84,Yes
2024-08-02T21:00:00+0530,2024-08-02T21:10:00+0530,62856.0,Yes
2024-08-02T21:05:00+0530,2024-08-02T21:15:00+0530,63246.32,Yes
2024-08-02T21:10:00+0530,2024-08-02T21:20:00+0530,63221.41,Yes
2024-08-02T21:20:00+0530,2024-08-02T21:30:00+0530,63485.99,No
2024-08-02T21:25:00+0530,2024-08-02T21:35:00+0530,63450.0,Yes
2024-08-02T21:30:00+0530,2024-08-02T21:40:00+0530,63416.0,No
2024-08-02T21:35:00+0530,2024-08-02T21:45:00+0530,63497.02,No
2024-08-02T21:40:00+0530,2024-08-02T21:50:00+0530,63338.02,No
2024-08-02T21:45:00+0530,2024-08-02T21:55:00+0530,63277.26,Yes
2024-08-02T21:50:00+0530,2024-08-02T22:00:00+0530,63298.01,No
2024-08-02T21:55:00+0530,2024-08-02T22:05:00+0530,63318.01,No
2024-08-02T22:00:00+0530,2024-08-02T22:10:00+0530,63092.02,Yes
2024-08-02T22:05:00+0530,2024-08-02T22:15:00+0530,63218.01,Yes
2024-08-02T22:10:00+0530,2024-08-02T22:20:00+0530,63298.01,Yes
2024-08-02T22:15:00+0530,2024-08-02T22:25:00+0530,63435.89,No
2024-08-02T22:20:00+0530,2024-08-02T22:30:00+0530,63478.01,No
2024-08-02T22:25:00+0530,2024-08-02T22:35:00+0530,63324.0,No
2024-08-02T22:30:00+0530,2024-08-02T22:40:00+0530,63307.39,Yes
2024-08-02T22:35:00+0530,2024-08-02T22:45:00+0530,63138.0,Yes
2024-08-02T22:40:00+0530,2024-08-02T22:50:00+0530,63384.0,No
2024-08-02T22:45:00+0530,2024-08-02T22:55:00+0530,63433.99,No
2024-08-02T22:50:00+0530,2024-08-02T23:00:00+0530,63346.01,No
2024-08-02T22:55:00+0530,2024-08-02T23:05:00+0530,63196.01,Yes
2024-08-02T23:00:00+0530,2024-08-02T23:10:00+0530,63240.0,Yes
2024-08-02T23:05:00+0530,2024-08-02T23:15:00+0530,63314.02,Yes
2024-08-02T23:10:00+0530,2024-08-02T23:20:00+0530,63309.98,No
2024-08-02T23:15:00+0530,2024-08-02T23:25:00+0530,63322.01,No
2024-08-02T23:20:00+0530,2024-08-02T23:30:00+0530,63211.56,No
2024-08-02T23:25:00+0530,2024-08-02T23:35:00+0530,63104.01,No
2024-08-02T23:30:00+0530,2024-08-02T23:40:00+0530,63098.01,No
2024-08-02T23:35:00+0530,2024-08-02T23:45:00+0530,63054.0,No
2024-08-02T23:40:00+0530,2024-08-02T23:50:00+0530,62973.52,Yes
2024-08-02T23:45:00+0530,2024-08-02T23:55:00+0530,62990.01,Yes
