start_time,end_time,target_views,settled_as,video_name
2024-07-11T17:40:00+0530,2024-07-11T18:00:00+0530,17.42M,Yes,Round2Hell - EPL Season 3
2024-07-11T17:45:00+0530,2024-07-11T18:05:00+0530,17.40M,Yes,Round2Hell - EPL Season 3
2024-07-11T17:50:00+0530,2024-07-11T18:10:00+0530,44.66M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T17:50:00+0530,2024-07-11T18:05:00+0530,17.47M,No,Round2Hell - EPL Season 3
2024-07-11T18:00:00+0530,2024-07-11T19:00:00+0530,86.07M,No,MrBeast - I Built 100 Homes
2024-07-11T18:00:00+0530,2024-07-11T18:20:00+0530,17.56M,No,Round2Hell - EPL Season 3
2024-07-11T18:00:00+0530,2024-07-11T18:10:00+0530,44.67M,No,Kendrick Lamar - Not Like Us
2024-07-11T18:05:00+0530,2024-07-11T18:25:00+0530,17.57M,No,Round2Hell - EPL Season 3
2024-07-11T18:10:00+0530,2024-07-11T18:30:00+0530,44.69M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T18:20:00+0530,2024-07-11T18:40:00+0530,17.54M,Yes,Round2Hell - EPL Season 3
2024-07-11T18:20:00+0530,2024-07-11T18:40:00+0530,17.64M,No,Round2Hell - EPL Season 3
2024-07-11T18:25:00+0530,2024-07-11T18:40:00+0530,17.62M,No,Round2Hell - EPL Season 3
2024-07-11T18:30:00+0530,2024-07-11T18:50:00+0530,44.74M,No,Kendrick Lamar - Not Like Us
2024-07-11T18:40:00+0530,2024-07-11T19:00:00+0530,17.71M,No,Round2Hell - EPL Season 3
2024-07-11T18:40:00+0530,2024-07-11T19:00:00+0530,17.67M,Yes,Round2Hell - EPL Season 3
2024-07-11T18:50:00+0530,2024-07-11T19:10:00+0530,44.73M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T10:40:00+0530,2024-07-12T00:00:00+0530,3.65M,Yes,Sourav Joshi - Kunali Ka New Laptop
2024-07-11T18:50:00+0530,2024-07-11T19:10:00+0530,44.74M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T18:55:00+0530,2024-07-11T19:10:00+0530,44.76M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T18:55:00+0530,2024-07-11T19:55:00+0530,86.08M,Yes,MrBeast - I Built 100 Homes
2024-07-11T18:55:00+0530,2024-07-11T19:15:00+0530,17.77M,No,Round2Hell - EPL Season 3
2024-07-11T19:00:00+0530,2024-07-11T19:10:00+0530,44.78M,No,Kendrick Lamar - Not Like Us
2024-07-11T19:00:00+0530,2024-07-11T19:20:00+0530,17.85M,No,Round2Hell - EPL Season 3
2024-07-11T19:05:00+0530,2024-07-11T19:25:00+0530,44.83M,No,Kendrick Lamar - Not Like Us
2024-07-11T19:15:00+0530,2024-07-11T19:35:00+0530,17.82M,Yes,Round2Hell - EPL Season 3
2024-07-11T19:20:00+0530,2024-07-11T19:40:00+0530,17.87M,No,Round2Hell - EPL Season 3
2024-07-11T19:25:00+0530,2024-07-11T19:55:00+0530,86.13M,Yes,MrBeast - I Built 100 Homes
2024-07-11T19:25:00+0530,2024-07-11T19:35:00+0530,17.86M,No,Round2Hell - EPL Season 3
2024-07-11T19:30:00+0530,2024-07-11T19:50:00+0530,44.87M,No,Kendrick Lamar - Not Like Us
2024-07-11T19:40:00+0530,2024-07-11T20:00:00+0530,17.94M,Yes,Round2Hell - EPL Season 3
2024-07-11T19:40:00+0530,2024-07-11T20:00:00+0530,17.92M,Yes,Round2Hell - EPL Season 3
2024-07-11T19:50:00+0530,2024-07-11T20:10:00+0530,44.87M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T19:50:00+0530,2024-07-11T19:55:00+0530,86.13M,Yes,MrBeast - I Built 100 Homes
2024-07-11T19:55:00+0530,2024-07-11T20:10:00+0530,44.91M,No,Kendrick Lamar - Not Like Us
2024-07-11T19:55:00+0530,2024-07-11T20:55:00+0530,86.17M,Yes,MrBeast - I Built 100 Homes
2024-07-11T20:00:00+0530,2024-07-11T20:20:00+0530,18.05M,No,Round2Hell - EPL Season 3
2024-07-11T20:05:00+0530,2024-07-11T20:25:00+0530,18.06M,Yes,Round2Hell - EPL Season 3
2024-07-11T20:10:00+0530,2024-07-11T20:30:00+0530,44.95M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T20:10:00+0530,2024-07-11T20:55:00+0530,86.23M,Yes,MrBeast - I Built 100 Homes
2024-07-11T20:20:00+0530,2024-07-11T20:40:00+0530,18.14M,No,Round2Hell - EPL Season 3
2024-07-11T20:20:00+0530,2024-07-11T20:40:00+0530,18.19M,No,Round2Hell - EPL Season 3
2024-07-11T20:25:00+0530,2024-07-11T20:45:00+0530,45.02M,No,Kendrick Lamar - Not Like Us
2024-07-11T20:35:00+0530,2024-07-11T20:55:00+0530,18.14M,Yes,Round2Hell - EPL Season 3
2024-07-11T20:40:00+0530,2024-07-11T21:00:00+0530,18.14M,Yes,Round2Hell - EPL Season 3
2024-07-11T20:50:00+0530,2024-07-11T21:10:00+0530,45.02M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T20:50:00+0530,2024-07-11T20:55:00+0530,86.25M,Yes,MrBeast - I Built 100 Homes
2024-07-11T20:50:00+0530,2024-07-11T21:00:00+0530,18.19M,Yes,Round2Hell - EPL Season 3
2024-07-11T20:55:00+0530,2024-07-11T21:10:00+0530,45.07M,No,Kendrick Lamar - Not Like Us
2024-07-11T21:00:00+0530,2024-07-11T22:00:00+0530,86.37M,Yes,MrBeast - I Built 100 Homes
2024-07-11T21:00:00+0530,2024-07-11T21:20:00+0530,18.30M,No,Round2Hell - EPL Season 3
2024-07-11T21:00:00+0530,2024-07-11T21:20:00+0530,18.33M,No,Round2Hell - EPL Season 3
2024-07-11T21:10:00+0530,2024-07-11T21:30:00+0530,45.08M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T21:10:00+0530,2024-07-12T00:00:00+0530,3.72M,Yes,Sourav Joshi - Kunali Ka New Laptop
2024-07-11T21:20:00+0530,2024-07-11T21:40:00+0530,18.34M,Yes,Round2Hell - EPL Season 3
2024-07-11T21:20:00+0530,2024-07-11T21:30:00+0530,45.10M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T21:25:00+0530,2024-07-11T21:45:00+0530,18.42M,No,Round2Hell - EPL Season 3
2024-07-11T21:25:00+0530,2024-07-11T21:45:00+0530,45.17M,No,Kendrick Lamar - Not Like Us
2024-07-11T21:30:00+0530,2024-07-11T21:40:00+0530,18.39M,No,Round2Hell - EPL Season 3
2024-07-11T21:40:00+0530,2024-07-11T22:00:00+0530,18.42M,Yes,Round2Hell - EPL Season 3
2024-07-11T21:40:00+0530,2024-07-11T22:00:00+0530,18.43M,Yes,Round2Hell - EPL Season 3
2024-07-11T21:50:00+0530,2024-07-11T22:10:00+0530,45.19M,Yes,Kendrick Lamar - Not Like Us
